"subject_id","story","social_interaction","relationship","likert_rating","normalized_likert_rating"
"2bba51f598bf1087f5e74d21f051df46","weekend","no_interaction","symmetric",4,0.307692307692308
"2bba51f598bf1087f5e74d21f051df46","weekend","no_interaction","none",5,0.384615384615385
"2bba51f598bf1087f5e74d21f051df46","restaurant","no_interaction","asymmetric",4,0.307692307692308
"2bba51f598bf1087f5e74d21f051df46","restaurant","no_interaction","symmetric",4,0.307692307692308
"2bba51f598bf1087f5e74d21f051df46","restaurant","no_interaction","none",5,0.384615384615385
"2bba51f598bf1087f5e74d21f051df46","babysitting","precedent","asymmetric",5,0.555555555555556
"2bba51f598bf1087f5e74d21f051df46","babysitting","precedent","symmetric",3,0.333333333333333
"2bba51f598bf1087f5e74d21f051df46","babysitting","precedent","none",1,0.111111111111111
"2bba51f598bf1087f5e74d21f051df46","architects","reciprocity","asymmetric",2,0.222222222222222
"2bba51f598bf1087f5e74d21f051df46","architects","reciprocity","symmetric",6,0.666666666666667
"2bba51f598bf1087f5e74d21f051df46","architects","reciprocity","none",1,0.111111111111111
"c9bfabff0d8fa38070537141b29ff789","feedback","reciprocity","asymmetric",1,0.1
"c9bfabff0d8fa38070537141b29ff789","feedback","reciprocity","symmetric",7,0.7
"c9bfabff0d8fa38070537141b29ff789","feedback","reciprocity","none",2,0.2
"c9bfabff0d8fa38070537141b29ff789","weekend","no_interaction","asymmetric",6,0.428571428571429
"c9bfabff0d8fa38070537141b29ff789","weekend","no_interaction","symmetric",2,0.142857142857143
"c9bfabff0d8fa38070537141b29ff789","weekend","no_interaction","none",6,0.428571428571429
"c9bfabff0d8fa38070537141b29ff789","babysitting","reciprocity","asymmetric",1,0.111111111111111
"c9bfabff0d8fa38070537141b29ff789","babysitting","reciprocity","symmetric",7,0.777777777777778
"c9bfabff0d8fa38070537141b29ff789","babysitting","reciprocity","none",1,0.111111111111111
"c9bfabff0d8fa38070537141b29ff789","meeting prep","no_interaction","asymmetric",1,0.0714285714285714
"c9bfabff0d8fa38070537141b29ff789","meeting prep","no_interaction","symmetric",7,0.5
"c9bfabff0d8fa38070537141b29ff789","meeting prep","no_interaction","none",6,0.428571428571429
"c9bfabff0d8fa38070537141b29ff789","concerts","precedent","asymmetric",5,0.555555555555556
"c9bfabff0d8fa38070537141b29ff789","concerts","precedent","symmetric",2,0.222222222222222
"c9bfabff0d8fa38070537141b29ff789","concerts","precedent","none",2,0.222222222222222
"c9bfabff0d8fa38070537141b29ff789","housemates","precedent","asymmetric",3,0.3
"c9bfabff0d8fa38070537141b29ff789","housemates","precedent","symmetric",5,0.5
"c9bfabff0d8fa38070537141b29ff789","housemates","precedent","none",2,0.2
"c9bfabff0d8fa38070537141b29ff789","fundraising","precedent","asymmetric",5,0.5
"c9bfabff0d8fa38070537141b29ff789","fundraising","precedent","symmetric",3,0.3
"c9bfabff0d8fa38070537141b29ff789","fundraising","precedent","none",2,0.2
"c9bfabff0d8fa38070537141b29ff789","group project","precedent","asymmetric",7,0.7
"c9bfabff0d8fa38070537141b29ff789","group project","precedent","symmetric",1,0.1
"c9bfabff0d8fa38070537141b29ff789","group project","precedent","none",2,0.2
"c9bfabff0d8fa38070537141b29ff789","architects","reciprocity","asymmetric",1,0.1
"c9bfabff0d8fa38070537141b29ff789","architects","reciprocity","symmetric",7,0.7
"c9bfabff0d8fa38070537141b29ff789","architects","reciprocity","none",2,0.2
"c9bfabff0d8fa38070537141b29ff789","meeting location","no_interaction","asymmetric",NA,NA
"c9bfabff0d8fa38070537141b29ff789","meeting location","no_interaction","symmetric",6,NA
"c9bfabff0d8fa38070537141b29ff789","meeting location","no_interaction","none",6,NA
"c9bfabff0d8fa38070537141b29ff789","gifts","no_interaction","asymmetric",1,0.0666666666666667
"c9bfabff0d8fa38070537141b29ff789","gifts","no_interaction","symmetric",7,0.466666666666667
"c9bfabff0d8fa38070537141b29ff789","gifts","no_interaction","none",7,0.466666666666667
"c9bfabff0d8fa38070537141b29ff789","restaurant","no_interaction","asymmetric",1,0.0666666666666667
"c9bfabff0d8fa38070537141b29ff789","restaurant","no_interaction","symmetric",7,0.466666666666667
"c9bfabff0d8fa38070537141b29ff789","restaurant","no_interaction","none",7,0.466666666666667
"c9bfabff0d8fa38070537141b29ff789","family meals","reciprocity","asymmetric",1,0.111111111111111
"c9bfabff0d8fa38070537141b29ff789","family meals","reciprocity","symmetric",7,0.777777777777778
"c9bfabff0d8fa38070537141b29ff789","family meals","reciprocity","none",1,0.111111111111111
"c9bfabff0d8fa38070537141b29ff789","police","reciprocity","asymmetric",1,0.1
"c9bfabff0d8fa38070537141b29ff789","police","reciprocity","symmetric",7,0.7
"c9bfabff0d8fa38070537141b29ff789","police","reciprocity","none",2,0.2
"c9bfabff0d8fa38070537141b29ff789","coffee","no_interaction","asymmetric",1,0.0769230769230769
"c9bfabff0d8fa38070537141b29ff789","coffee","no_interaction","symmetric",6,0.461538461538462
"c9bfabff0d8fa38070537141b29ff789","coffee","no_interaction","none",6,0.461538461538462
"c9bfabff0d8fa38070537141b29ff789","scheduling","precedent","asymmetric",6,0.6
"c9bfabff0d8fa38070537141b29ff789","scheduling","precedent","symmetric",2,0.2
"c9bfabff0d8fa38070537141b29ff789","scheduling","precedent","none",2,0.2
"c9bfabff0d8fa38070537141b29ff789","conversation","reciprocity","asymmetric",1,0.111111111111111
"c9bfabff0d8fa38070537141b29ff789","conversation","reciprocity","symmetric",7,0.777777777777778
"c9bfabff0d8fa38070537141b29ff789","conversation","reciprocity","none",1,0.111111111111111
"c9bfabff0d8fa38070537141b29ff789","groceries","precedent","asymmetric",4,0.4
"c9bfabff0d8fa38070537141b29ff789","groceries","precedent","symmetric",4,0.4
"c9bfabff0d8fa38070537141b29ff789","groceries","precedent","none",2,0.2
"3ce9276d913e6a149812483b81cff182","conversation","no_interaction","asymmetric",2,0.153846153846154
"3ce9276d913e6a149812483b81cff182","conversation","no_interaction","symmetric",6,0.461538461538462
"3ce9276d913e6a149812483b81cff182","conversation","no_interaction","none",5,0.384615384615385
"3ce9276d913e6a149812483b81cff182","housemates","precedent","asymmetric",6,0.6
"3ce9276d913e6a149812483b81cff182","housemates","precedent","symmetric",2,0.2
"3ce9276d913e6a149812483b81cff182","housemates","precedent","none",2,0.2
"3ce9276d913e6a149812483b81cff182","restaurant","reciprocity","asymmetric",1,0.0714285714285714
"3ce9276d913e6a149812483b81cff182","restaurant","reciprocity","symmetric",7,0.5
"3ce9276d913e6a149812483b81cff182","restaurant","reciprocity","none",6,0.428571428571429
"3ce9276d913e6a149812483b81cff182","concerts","precedent","asymmetric",6,0.545454545454545
"3ce9276d913e6a149812483b81cff182","concerts","precedent","symmetric",2,0.181818181818182
"3ce9276d913e6a149812483b81cff182","concerts","precedent","none",3,0.272727272727273
"3ce9276d913e6a149812483b81cff182","police","precedent","asymmetric",3,0.230769230769231
"3ce9276d913e6a149812483b81cff182","police","precedent","symmetric",5,0.384615384615385
"3ce9276d913e6a149812483b81cff182","police","precedent","none",5,0.384615384615385
"3ce9276d913e6a149812483b81cff182","meeting prep","reciprocity","asymmetric",2,0.2
"3ce9276d913e6a149812483b81cff182","meeting prep","reciprocity","symmetric",6,0.6
"3ce9276d913e6a149812483b81cff182","meeting prep","reciprocity","none",2,0.2
"3ce9276d913e6a149812483b81cff182","family meals","precedent","asymmetric",5,0.384615384615385
"3ce9276d913e6a149812483b81cff182","family meals","precedent","symmetric",2,0.153846153846154
"3ce9276d913e6a149812483b81cff182","family meals","precedent","none",6,0.461538461538462
"3ce9276d913e6a149812483b81cff182","architects","precedent","asymmetric",7,0.466666666666667
"3ce9276d913e6a149812483b81cff182","architects","precedent","symmetric",2,0.133333333333333
"3ce9276d913e6a149812483b81cff182","architects","precedent","none",6,0.4
"3ce9276d913e6a149812483b81cff182","coffee","no_interaction","asymmetric",1,0.0666666666666667
"3ce9276d913e6a149812483b81cff182","coffee","no_interaction","symmetric",7,0.466666666666667
"3ce9276d913e6a149812483b81cff182","coffee","no_interaction","none",7,0.466666666666667
"3ce9276d913e6a149812483b81cff182","feedback","reciprocity","asymmetric",3,0.25
"3ce9276d913e6a149812483b81cff182","feedback","reciprocity","symmetric",6,0.5
"3ce9276d913e6a149812483b81cff182","feedback","reciprocity","none",3,0.25
"3ce9276d913e6a149812483b81cff182","fundraising","no_interaction","asymmetric",1,0.0714285714285714
"3ce9276d913e6a149812483b81cff182","fundraising","no_interaction","symmetric",7,0.5
"3ce9276d913e6a149812483b81cff182","fundraising","no_interaction","none",6,0.428571428571429
